close,volume,date,high,low,open
137825890.0957114,123486173964315.02,2018-02-15 23:59:59.999000+00:00,138753180.95215678,127375879.11914828,129287852.57815328
138740987.59571147,98914037649413.94,2018-02-16 23:59:59.999000+00:00,139963818.40430528,133195088.9765705,137409687.54785982
150654876.54786062,117415555365895.06,2018-02-17 23:59:59.999000+00:00,151018201.5000091,137595421.09571138,138383077.5000083
143050749.95215702,118542539882503.12,2018-02-18 23:59:59.999000+00:00,153869235.95215768,139989582.0000084,150799939.09571218
152192614.75185883,103739382177798.23,2018-02-19 23:59:59.999000+00:00,152850177.7518584,142527455.04786012,143061592.9043055
155204359.65815067,134584033224620.6,2018-02-20 23:59:59.999000+00:00,162755184.99994498,152280741.75185877,152280741.75185877
145581872.51960957,128006672609236.72,2018-02-21 23:59:59.999000+00:00,155097485.50002006,142704378.48054552,154775644.65815082
136868399.9999595,109489807696954.9,2018-02-22 23:59:59.999000+00:00,151014882.6562053,135966749.06245977,145173332.51960936
140764526.16214117,105876360437728.66,2018-02-23 23:59:59.999000+00:00,143329926.43056858,133188244.04097465,135939121.87495977
134095605.8203428,94533513231381.36,2018-02-24 23:59:59.999000+00:00,144810740.66897804,130459341.31350604,140581423.16897708
132068541.8554986,77985333788177.62,2018-02-25 23:59:59.999000+00:00,135600797.5635072,128547469.02834935,133868078.23245212
141557291.16707748,99586287129622.5,2018-02-26 23:59:59.999000+00:00,143036125.0000862,129746129.55085942,132132756.67971736
146618946.66023,95123185715257.31,2018-02-27 23:59:59.999000+00:00,148709095.0000748,139889997.96679702,141928709.83406988
142867151.36712977,94817716643887.69,2018-02-28 23:59:59.999000+00:00,152063334.9219689,142801188.6327548,146094026.66999537
150521494.9999839,100539423682519.38,2018-03-01 23:59:59.999000+00:00,151913860.81541345,142246100.6835363,142689899.99994236
152493437.3730777,104745010649588.8,2018-03-02 23:59:59.999000+00:00,153848749.9999423,149243120.12698328,150884368.36912447
158040826.18655536,92028793651218.6,2018-03-03 23:59:59.999000+00:00,158570393.68655547,151338017.37307745,152706639.87307772
158355807.6269851,83687479948816.9,2018-03-04 23:59:59.999000+00:00,158355807.6269851,153177050.12698406,158146742.37307882
159248605.31239298,88974766379537.97,2018-03-05 23:59:59.999000+00:00,161048410.6248918,157468069.37489417,158628167.3730789
148439228.37889037,94010658979776.84,2018-03-06 23:59:59.999000+00:00,158241370.62489367,147260508.3105311,158241370.62489367
137146178.64068055,121147220920307.05,2018-03-07 23:59:59.999000+00:00,150411779.00006092,133382957.0527884,148769708.37889034
129463234.57025684,98894970359848.05,2018-03-08 23:59:59.999000+00:00,139831177.38275236,128601610.8642845,136951723.19341484
128643423.65915696,119943744593868.42,2018-03-09 23:59:59.999000+00:00,130446297.6171314,117352122.31939784,129734434.12103796
122146881.99997842,74207328876530.89,2018-03-10 23:59:59.999000+00:00,131312999.9452893,121629827.42283008,128823076.27732098
131964783.89548448,86745091914736.67,2018-03-11 23:59:59.999000+00:00,133800703.6864998,118580293.85447124,121964753.82712688
126708478.41316564,88963597154800.28,2018-03-12 23:59:59.999000+00:00,136789687.50008604,123285254.64851505,132299562.30466412
126392402.73051731,82468039897651.88,2018-03-13 23:59:59.999000+00:00,130236664.14851804,123309491.264726,126266896.13777474
113585834.4482982,88499909799970.02,2018-03-14 23:59:59.999000+00:00,128605508.7305182,110822081.5039609,126664584.26957996
114095325.53221436,93870895390766.28,2018-03-15 23:59:59.999000+00:00,115847665.38084698,106978019.56541824,113873585.38091552
114610615.38084713,72702525900792.22,2018-03-16 23:59:59.999000+00:00,118002892.119128,110153066.40617596,114398400.09764402
108817513.98924616,60837430210553.49,2018-03-17 23:59:59.999000+00:00,114723058.60838616,107387208.48387524,114384655.09764402
113034477.3046754,91255666769910.23,2018-03-18 23:59:59.999000+00:00,113334531.7285035,101685375.7714735,108455197.66844542
118792271.97648089,92491617169910.12,2018-03-19 23:59:59.999000+00:00,119414676.29288667,112622552.25578198,114689931.01072992
122515641.39158843,87563676899267.83,2018-03-20 23:59:59.999000+00:00,124406263.45701794,115319033.2177611,118641136.80460598
122866896.56241743,83062819870711.11,2018-03-21 23:59:59.999000+00:00,126280612.81241514,121725501.8749182,122845669.0429556
120016458.74018936,76098166620108.86,2018-03-22 23:59:59.999000+00:00,125025553.44331762,117767380.37104958,123006700.31241734
122361165.21479112,81869152639969.3,2018-03-23 23:59:59.999000+00:00,122361165.21479112,115209345.2147942,120123437.49995495
119446695.2147924,78058188881886.44,2018-03-24 23:59:59.999000+00:00,123967356.0936967,119413348.6913549,122668873.6913535
117071852.1679184,62972947281892.92,2018-03-25 23:59:59.999000+00:00,119638094.57026106,116428592.61713745,118684515.8788552
112756114.36528996,81591929436124.92,2018-03-26 23:59:59.999000+00:00,117459202.67576867,108800843.46440911,117108912.8319809
107625970.13667528,73870267046436.42,2018-03-27 23:59:59.999000+00:00,113077237.0557198,106861719.4555498,112627000.00005552
109453644.53117643,67810882621412.6,2018-03-28 23:59:59.999000+00:00,111770968.28117488,107297994.72651917,107678045.273394
98600034.68743372,87530522378181.17,2018-03-29 23:59:59.999000+00:00,110001981.87492608,97439787.18743452,109792000.78117622
94813555.46868628,86543656058821.84,2018-03-30 23:59:59.999000+00:00,100126843.74993272,91970879.2186882,98679154.68743367
95955769.84368552,62652991897557.9,2018-03-31 23:59:59.999000+00:00,99180017.34368336,94442035.46868654,94840524.53118628
94176604.53118671,62361697320918.09,2018-04-01 23:59:59.999000+00:00,97158674.6874347,89809732.81243965,96362106.40618524
97423498.71384186,59628134399959.93,2018-04-02 23:59:59.999000+00:00,98134121.86472058,93796141.87493695,94185271.71868671
102618440.04827712,75637377180652.33,2018-04-03 23:59:59.999000+00:00,103648326.41351086,97352828.0762331,97677378.55661523
94329397.76947358,67934167999958.47,2018-04-04 23:59:59.999000+00:00,102807956.82708558,93641798.8270912,102622572.98040602
93753076.03704494,77613962040784.55,2018-04-05 23:59:59.999000+00:00,95437096.0604813,91472314.11129704,94257968.6058994
91382123.9794824,51846374381532.375,2018-04-06 23:59:59.999000+00:00,94461927.97853522,90537749.99999031,93814872.90227927
95165707.14842732,54757920360954.14,2018-04-07 23:59:59.999000+00:00,97085936.33788024,91302119.47264647,91302119.47264647
96713870.66893496,50294924559354.62,2018-04-08 23:59:59.999000+00:00,97926182.00682546,95288124.3310445,95288124.3310445
93165244.5311874,67391206640632.79,2018-04-09 23:59:59.999000+00:00,98770791.71868365,91668985.6249384,97000283.9794818
93964277.25779438,58793041100760.49,2018-04-10 23:59:59.999000+00:00,94481894.8281068,92182061.157192,93505253.59368716
95863175.82174972,63816700860403.695,2018-04-11 23:59:59.999000+00:00,95863175.82174972,93728225.17185692,94084028.51365374
108627083.24999586,122523284551644.7,2018-04-12 23:59:59.999000+00:00,108764497.60107008,93718832.96288703,95685161.047824
108569449.46284992,106908850180603.92,2018-04-13 23:59:59.999000+00:00,112684944.70214416,106724084.56789266,108790106.0585896
109810803.22261508,71382164479973.23,2018-04-14 23:59:59.999000+00:00,111934761.96284863,107882499.99995954,108276711.42574064
114525267.33394144,72111599999972.95,2018-04-15 23:59:59.999000+00:00,114653273.92573826,109990788.5741775,109990788.5741775
110984002.1640812,77430510079970.97,2018-04-16 23:59:59.999000+00:00,115145173.62307014,109153153.291034,114641591.796832
108772266.69928716,95038917597200.0,2018-04-17 23:59:59.999000+00:00,114056238.86237642,108491878.75739248,111162903.67189372
112434782.58398987,89884207846456.53,2018-04-18 23:59:59.999000+00:00,112908296.70996648,108566696.4433172,109355081.36969768
114295585.8788571,97281591109636.77,2018-04-19 23:59:59.999000+00:00,114355954.12104458,112095413.98096251,112377625.97900942
122735892.3339368,116277158666190.0,2018-04-20 23:59:59.999000+00:00,123213197.7538585,113898320.63970134,114193204.78510717
123426173.58393654,104736133247959.42,2018-04-21 23:59:59.999000+00:00,124841288.08588912,120048586.66987535,122776961.7919446
122134131.95796049,91989859391964.36,2018-04-22 23:59:59.999000+00:00,124897750.12202191,121817093.62788248,123835201.53803796
124049921.57220212,96087013247962.77,2018-04-23 23:59:59.999000+00:00,124299878.5399909,121944732.78803869,122022156.37202305
134649787.49996445,148328537333684.06,2018-04-24 23:59:59.999000+00:00,135137294.73140964,124007559.78509276,124097980.42962396
123115012.58211644,153888845721559.38,2018-04-25 23:59:59.999000+00:00,135313772.53902677,122476170.94539724,134698805.34664413
128873763.0956691,124852246954070.38,2018-04-26 23:59:59.999000+00:00,128873763.0956691,121463636.44539651,123415364.10946038
